email_id,subject,phish_type,true_label,predicted_label,predicted_prob_phishing
0,50 ways to meet your lover_audi_girl,dating_sites,1,PHISHING,0.9977295994758606
1,free adware removal scan and download . qyesa,tech_support,1,PHISHING,0.9970675110816956
2,"TREAT  AS URGENT AND CALL ME"""""""" 00226 76 63 87 21",advance_fee,1,PHISHING,0.99661785364151
3,Perfect proportions are easily attained,hr_impersonation,1,PHISHING,0.9953643083572388
4,fix mailbox now! jose@monkey.org,document_share,1,PHISHING,0.9976755976676941
5,"For you  color=""#006657""",dating_sites,1,PHISHING,0.9971576929092407
6,"Over $100,000 Per Year Possible On The Net!  No Illegal MLM Junk! Time:11:43:57 PM",loans,1,PHISHING,0.9960529804229736
7,50 ways to meet your lover_jasmine123,dating_sites,1,PHISHING,0.9974291920661926
8,50 ways to meet your lover_jasmine123,dating_sites,1,PHISHING,0.9973568916320801
9,ScanMail Message: To Recipient virus found or matched file blocki	ng setting.,tech_support,1,PHISHING,0.9810240268707275
10,You sent a payment of $185.00 USD to PayPal Inc (dgsEbayCA@paypal.com).,invoice_payment,1,PHISHING,0.9973426461219788
11,RE: Selling Wedded Bliss (was Re: Ouch...),legit,0,LEGITIMATE,0.02828669734299183
12,HELLO!!,advance_fee,1,PHISHING,0.9933931231498718
13,one singled out one of their villains .,legit,0,PHISHING,0.9772995710372925
14,re: may the be11 s news advise her pennies,stock_pump_dump,1,PHISHING,0.9957558512687683
15,jose@monkey.org Messages could not be delivered.,invoice_payment,1,PHISHING,0.9975029826164246
16,Well-Paid Part-Time Job,hr_impersonation,1,PHISHING,0.9966145157814026
17,Involved In Fundraising?,stock_pump_dump,1,PHISHING,0.9966760873794556
18,50 ways to meet your lover_nuxu63,dating_sites,1,PHISHING,0.9974417686462402
19,Amazon Case-1020-3090-4080-1090,account_verify,1,PHISHING,0.9977279305458069
20,overdue invoice_863637 ready  for your review via OneDrive Cloud.,document_share,1,PHISHING,0.9979376792907715
21,Positions Accessible,hr_impersonation,1,PHISHING,0.9978547692298889
22,Safe and fast enlargement,pharm_sex,1,PHISHING,0.9963955283164978
23,Re:,dating_sites,1,PHISHING,0.9934154748916626
24,Fast Shipping WorldWide. ,pharm_sex,1,PHISHING,0.9961920976638794
25,Ref Number: SWE/074OY8/01/SWKY,lottery,1,PHISHING,0.9961025714874268
26,50 ways to meet your lover_nuxu63,dating_sites,1,PHISHING,0.9975772500038147
27,Lowest Mortgage Rates Around,loans,1,PHISHING,0.9974964261054993
28,More strength and stamina in bed,pharm_sex,1,PHISHING,0.9942442774772644
29,PROBLEM!!,legit,0,PHISHING,0.956696629524231
30,Your receipt from Apple.,document_share,1,PHISHING,0.9974337220191956
31,VERY URGENT!!!,advance_fee,1,PHISHING,0.9971150159835815
32,Extra income can help you. Learn how!,hr_impersonation,1,PHISHING,0.9968593120574951
33,We are  happy to make people healthy .,hr_impersonation,1,PHISHING,0.9960634112358093
34,READ AND REPLY,advance_fee,1,PHISHING,0.9966248273849487
35,"re : university of texas conference on energy finance , february 2001",legit,0,PHISHING,0.5109754204750061
36,thrash,stock_pump_dump,1,PHISHING,0.9149286150932312
37,"For you  color=""#006626""",dating_sites,1,PHISHING,0.995571494102478
38,Account Suspention Notice!,account_verify,1,PHISHING,0.9973472356796265
39,50 ways to meet your lover_ewak1979,dating_sites,1,PHISHING,0.9976173043251038
40,Job Vacancies ,hr_impersonation,1,PHISHING,0.9977709054946899
41,CCGI Corporate Fact Sheet,stock_pump_dump,1,PHISHING,0.7365301251411438
42,PLS HELP MY FAMILY THANKS,advance_fee,1,PHISHING,0.9967632293701172
43,Instant Winners,lottery,1,PHISHING,0.9977014660835266
44,jose@monkey.org have stopped processing incoming emails.,account_verify,1,PHISHING,0.9977831244468689
45,Re: New Sequences Window,legit,0,LEGITIMATE,0.021876469254493713
46,Stimulate all her secret spots!,hr_impersonation,1,PHISHING,0.9916462302207947
47,Hiring Announcement,hr_impersonation,1,PHISHING,0.9978126287460327
48,want your music for ? - vaudeville baseplate acquit,tech_support,1,PHISHING,0.9961950778961182
49,online access locked ,document_share,1,PHISHING,0.9975212216377258
50,50 ways to meet your lover_Ulimaroa,dating_sites,1,PHISHING,0.9976304769515991
51,Radio 5CX News: Message of importance.,tech_support,1,PHISHING,0.8161863088607788
52,APPEAL FOR URGENT ASSISTANCE.,advance_fee,1,PHISHING,0.9968018531799316
53,fw : northwest hydro,legit,0,LEGITIMATE,0.03577539324760437
54,surfer alert : spyware,tech_support,1,PHISHING,0.9686853885650635
55,TREAT AS URGENT ,advance_fee,1,PHISHING,0.9973668456077576
56,lng models,legit,0,LEGITIMATE,0.04043784737586975
57,[Fwd: Re: unable to run sa-learn utility as non-root user],legit,0,LEGITIMATE,0.020861443132162094
58,Nedbank Credit Card monthly Charges eStatement,document_share,1,PHISHING,0.9979071617126465
59,You have 14 companies interested in your product.,invoice_payment,1,PHISHING,0.9977171421051025
60,Positions Accessible,hr_impersonation,1,PHISHING,0.9978508949279785
61,Your parcel has arrived   ,invoice_payment,1,PHISHING,0.9973734617233276
62,Regional Managers Needed ,hr_impersonation,1,PHISHING,0.997610330581665
63,Job with XOOM Money Transfer,hr_impersonation,1,PHISHING,0.9962730407714844
64,50 ways to meet your lover_sirry,dating_sites,1,PHISHING,0.9976757168769836
65,WE ARE UNABLE TO CONFIRM YOUR IDENTITY,account_verify,1,PHISHING,0.9975913763046265
66,Part-Time Job Available,hr_impersonation,1,PHISHING,0.9978356957435608
67,c0u1d her R0I pr0fi1e a penny s sma11 cap,stock_pump_dump,1,PHISHING,0.994759738445282
68,Your Checking/Savings Account Untrusted Authorization,tech_support,1,PHISHING,0.9977926015853882
69,[Lockergnome Penguin Shell]  Retail Ready,legit,0,LEGITIMATE,0.46325403451919556
70,Bad Credit Breakthrough!!!                   6465,loans,1,PHISHING,0.9963918328285217
71,50 ways to meet your lover_barbieinboot...,dating_sites,1,PHISHING,0.9975685477256775
72,Which Ones Really Work? We List The Top Penis Enlargement Products!,pharm_sex,1,PHISHING,0.9947696328163147
73,PLEASE READ AND REPLY IMMEDIATELY.,advance_fee,1,PHISHING,0.9976052045822144
74,ADV: It will be too late soon... hmlpy,loans,1,PHISHING,0.9968624114990234
75,Document Share,document_share,1,PHISHING,0.9961957931518555
76,Re: [PATCH] use 5.010 is ugly; use 5.10.0 warns,legit,0,LEGITIMATE,0.019757317379117012
77,Re:,dating_sites,1,PHISHING,0.9905318021774292
78,ScanMail Message: To Recipient virus found or matched file blocki	ng setting.,tech_support,1,PHISHING,0.9868892431259155
79,paper 19  - OVERCAST,legit,0,LEGITIMATE,0.027153292670845985
80,Low-Profile Company With High Profit Potential [R E P O R T Thursday]  divider grassland,stock_pump_dump,1,PHISHING,0.9925938248634338
81,Fight for your self-perfection!,pharm_sex,1,PHISHING,0.9953208565711975
82,Hiring ,hr_impersonation,1,PHISHING,0.9979556798934937
83,"2006 Global Digital Media - Convergence, Triple Play and IPTV",stock_pump_dump,1,PHISHING,0.9659497737884521
84,Enviaram uma charge para voce,tech_support,1,PHISHING,0.9933651089668274
85,CLAIM WINNING PRIZE,lottery,1,PHISHING,0.997675359249115
86,fwd: The hottest pick daily news,stock_pump_dump,1,LEGITIMATE,0.2185041755437851
87,Re:,dating_sites,1,PHISHING,0.9940195083618164
88,Account Notification,account_verify,1,PHISHING,0.9975684285163879
89,best mortgage rate              GZRHTKJ,loans,1,PHISHING,0.9975359439849854
90,Doctors help men with low libidos,pharm_sex,1,PHISHING,0.9941340088844299
91,Payment Advice - Advice Ref:[G50320909021] / Customer Transfer /  Customer Ref:[0011509844457],account_verify,1,PHISHING,0.9978614449501038
92,RE: Service Help Desk,invoice_payment,1,PHISHING,0.9953239560127258
93,your neighbour knows,tech_support,1,PHISHING,0.9957127571105957
94,NedBank Account Statement 18-10-12,account_verify,1,PHISHING,0.996978759765625
95,Reply Soon,advance_fee,1,PHISHING,0.9969785213470459
96,Great Idea for You byrdshot,loans,1,PHISHING,0.9974803328514099
97,Donation for God's work.,advance_fee,1,PHISHING,0.9933870434761047
98,50 ways to meet your lover_darlarose,dating_sites,1,PHISHING,0.9973978996276855
